date,Name,Age,Sex
1,1 Juan Vergara,20,
1,2 Maria Rios,13,
1,3 Pedro Araya,24,
1,4 Jose Vega,25,
1,5 Alejandra Mora,65,
2,6 Daniel Rosales,24,
2,7 Ricardo Leiva,72,
2,8 Alicia Carrasco,34,
2,9 Pedro Fuentes,12,
3,10 Daniela Delgado,15,
3,11 Tomas Alemparte,3,
3,12 Daniel Gonzalves,2,
4,13 Jose Fuentes,36,
4,14 Mercedes Lira,64,
5,15 Pablo Leiva,4,
6,16 Lily Pons,27,
6,17 Juana Aliste,6,
7,18 Mario Rosales,3,
7,19 Isabel Araya,52,
7,20 Aldo Mora,8,
8,21 Hector Navarro,32,
8,22 Denisse Ramirez,6,
8,23 Monica Diaz,31,
8,24 Claudia Carrasco,64,
9,25 Orlando Brito,4,
9,26 Juan Vergara,35,
9,27 Maria Rios,74,
10,28 Pedro Araya,43,
10,29 Jose Vega,12,
11,30 Alejandra Mora,42,
12,31 Daniel Rosales,53,
12,32 Ricardo Leiva,23,
13,33 Alicia Carrasco,7,
13,34 Pedro Fuentes,9,
13,35 Daniela Delgado,21,
14,36 Tomas Alemparte,23,
14,37 Daniel Gonzalves,67,
14,38 Jose Fuentes,5,
14,39 Mercedes Lira,8,
15,40 Pablo Leiva,11,
15,41 Lily Pons,8,
15,42 Juana Aliste,13,
15,43 Mario Rosales,42,
15,44 Isabel Araya,12,
16,45 Aldo Mora,32,
16,46 Hector Navarro,8,
16,47 Denisse Ramirez,43,
17,48 Monica Diaz,19,
17,49 Claudia Carrasco,32,
18,50 Orlando Brito,7,
